,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
49,390,621f79e243b89009366c8962,2021-08-12T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for working on the dashboard and the debates on the language to use for the commons upgrade,13,55,8,teaci#6108,Vyvy-vi#5040,kristofer#1475,25,47
50,946,621f79e243b89009366c8bef,2021-08-26T22:00:00.000Z,🐙 octopus#5508,iviangita#3204,for doing a lot of behind the scenes stuff supporting info going into the reward system,55,8,34,innov8tor3#3988,Mount Manu#3530,Mettodo#7010,32,47
51,954,621f79e243b89009366c8bf7,2021-08-26T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for the hack session they had with Fabio and they’ve done a lot of work,21,55,8,teaci#6108,Vyvy-vi#5040,kristofer#1475,28,47
52,360,621f79e243b89009366c8944,2021-08-12T22:00:00.000Z,natesuits#4789,iviangita#3204,for the great work on the Code of Conduct for the platform admins,55,55,13,innov8tor3#3988,Parrachia#0450,calazki#3961,41,42
53,289,621f79e243b89009366c88fb,2021-08-11T22:00:00.000Z,JohnPaller | Opolis#2670,karmaticacid#1218,"for hosting us in denver, letting us use his internet, explaining all the nitty gritty details about opolis and for keeping us in the loop on ethdenver!",13,55,34,osycross(🦎🦎)#5943,Mount Manu#3530,Usua◎ Silver#2618,34,42
54,328,621f79e243b89009366c8924,2021-08-12T22:00:00.000Z,natesuits#4789,iviangita#3204,for holding down the fort for Suga when she was out of the loop,13,55,13,innov8tor3#3988,Parrachia#0450,calazki#3961,27,42
55,86,621f79e143b89009366c87a7,2021-08-04T22:00:00.000Z,elessar.eth#7945,Nuggan#5183,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,13,34,55,PhilH#1102,Vyvy-vi#5040,Usua◎ Silver#2618,34,42
56,84,621f79e143b89009366c87a5,2021-08-04T22:00:00.000Z,markop#2007,Nuggan#5183,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,13,21,55,AmwFund#0979,Parrachia#0450,Usua◎ Silver#2618,29,42
57,265,621f79e243b89009366c88e3,2021-08-11T22:00:00.000Z,divine_comedian#5493,divine_comedian#5493,for writing praise-debate post-action summary,21,13,55,PhilH#1102,acidlazzer#5796,calazki#3961,29,42
58,838,621f79e243b89009366c8b83,2021-08-26T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for doing the QA on the dashboard,55,13,13,innov8tor3#3988,acidlazzer#5796,bends#3537,27,42
59,338,621f79e243b89009366c892e,2021-08-12T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for all their work in making the Hatch happen,55,13,21,innov8tor3#3988,acidlazzer#5796,bends#3537,29,42
60,146,621f79e143b89009366c87e3,2021-08-05T22:00:00.000Z,VitorNunes#0090,divine_comedian#5493,for their hard work building the config dashboard python code,13,34,55,teaci#6108,Vyvy-vi#5040,kristofer#1475,34,42
61,368,621f79e243b89009366c894c,2021-08-12T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for all the work in the Commons Dashboard and the whole process,55,13,34,innov8tor3#3988,acidlazzer#5796,bends#3537,34,42
62,3,621f79e143b89009366c8750,2021-08-01T22:00:00.000Z,Nuggan#5183,"griff (💜, 💜)#8888",for hacking with me in Sunday into the night on the python backend for the dashboard it's looking amazing!!!,55,13,21,Sha#6179,Tam2140#9361,bends#3537,29,42
66,21,621f79e143b89009366c8762,2021-08-02T22:00:00.000Z,sem  🐝#0161,"griff (💜, 💜)#8888",for helping to make the NFTs happen for the hatch,55,21,34,PhilH#1102,Mount Manu#3530,calazki#3961,36,34
67,678,621f79e243b89009366c8a99,2021-08-19T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for leading Graviton training sessions 👨🏻‍🏫,55,34,21,innov8tor3#3988,Parrachia#0450,calazki#3961,36,34
79,811,621f79e243b89009366c8b67,2021-08-25T22:00:00.000Z,mheuer#9922,Juankbell#7458,"for helping with the POAPs, creating the events, setting the bot in this server and managing the distribution strategy for the second graviton training",34,21,55,innov8tor3#3988,Zeptimus#3359,bends#3537,36,34
91,244,621f79e143b89009366c884e,2021-08-05T22:00:00.000Z,iviangita#3204,Juankbell#7458,for being the best praise giver!,13,34,1,innov8tor3#3988,Zeptimus#3359,enti#1546,16,33
92,118,621f79e143b89009366c87c7,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for all the Comms work and finally meeting Nate in person,1,13,34,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,16,33
93,886,621f79e243b89009366c8bb3,2021-08-26T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for the initiatives in the orientation,8,34,1,PhilH#1102,Parrachia#0450,kristofer#1475,14,33
94,203,621f79e143b89009366c881c,2021-08-05T22:00:00.000Z,santigs#9769,Mount Manu#3530,for educating Chuy on the Cataluña conflict 👨🏻‍🏫,34,3,1,innov8tor3#3988,acidlazzer#5796,enti#1546,12,33
95,262,621f79e243b89009366c88e0,2021-08-11T22:00:00.000Z,fabiomendes#4802,divine_comedian#5493,for their work on the Commons Config Dashboard,34,1,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,18,33
96,1091,621f79e243b89009366c8c91,2021-08-27T22:00:00.000Z,ALOYSIOUS#3049,storypup#2167,for their collaborative focus in approaching the tasks related to reviewing the TEC agreements and handbook,5,1,34,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,13,33
97,77,621f79e143b89009366c879e,2021-08-04T22:00:00.000Z,JessicaZartler#2263,Juankbell#7458,for sharing this article about participatory decision making https://medium.com/block-science/mapping-the-computer-aided-governance-process-2e47eaf70889 and praise and  for always being in the frontier of political and social innovation research,34,3,1,innov8tor3#3988,Vyvy-vi#5040,kristofer#1475,12,33
98,683,621f79e243b89009366c8a9e,2021-08-19T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for being our praise queen 👸 and all the work done in transparency,13,34,1,innov8tor3#3988,Zeptimus#3359,enti#1546,16,33
99,308,621f79e243b89009366c8910,2021-08-12T22:00:00.000Z,JessicaZartler#2263,iviangita#3204,for hosting YGG at a very awesome Airbnb,34,5,1,innov8tor3#3988,Vyvy-vi#5040,kristofer#1475,13,33
100,463,621f79e243b89009366c89be,2021-08-13T22:00:00.000Z,iviangita#3204,EvoMensch#5604,for and especially for helping me out in a moment of stress and guiding me through the Hatch process. Much appreciated!,34,21,3,innov8tor3#3988,Zeptimus#3359,enti#1546,19,31
101,114,621f79e143b89009366c87c3,2021-08-05T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for all the work he did in Paris and his great talk,3,5,34,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,14,31
102,643,621f79e243b89009366c8a76,2021-08-19T22:00:00.000Z,freshelle#9882,Mount Manu#3530,for a great chat with Suga regarding wxDAI troubleshooting 🩺,8,3,34,Sha#6179,Vyvy-vi#5040,Usua◎ Silver#2618,15,31
103,462,621f79e243b89009366c89bd,2021-08-13T22:00:00.000Z,iviangita#3204,Paula I Peh Kah#8497,"for helping me through the hatch labyrinth, gold!",34,13,3,innov8tor3#3988,Zeptimus#3359,enti#1546,16,31
104,809,621f79e243b89009366c8b65,2021-08-25T22:00:00.000Z,liviade#1387,Jolie_Ze#0295,for taking time off - she told me and now I am inspired to take a look at my own need for rest,3,8,34,Sha#6179,tigeroid#2951,Mettodo#7010,15,31
105,518,621f79e243b89009366c89f9,2021-08-17T22:00:00.000Z,iviangita#3204,ZER8🧠#9093,"for guiding me in helping them with the Roles document. I learned smth new and I'm getting closer to understanding the TEC because of them day by day, work session by work session😎",34,21,3,innov8tor3#3988,Zeptimus#3359,enti#1546,19,31
106,522,621f79e243b89009366c89fd,2021-08-18T22:00:00.000Z,Juankbell#7458,divine_comedian#5493,for leading gravity and helping to take it to the next level,3,13,34,eduardovegap#0422,Mount Manu#3530,kristofer#1475,16,31
107,691,621f79e243b89009366c8ab4,2021-08-19T22:00:00.000Z,Kris#8703,ALOYSIOUS#3049,"for sharing resources, teaching me things and making me feel welcomed here. <:ThankYou:753828947460096054>",34,3,34,teaci#6108,Tam2140#9361,Usua◎ Silver#2618,23,31
108,550,621f79e243b89009366c8a19,2021-08-19T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for doing so much work behind the scenes on the Trusted Seed,3,21,34,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,19,31
109,730,621f79e243b89009366c8b0a,2021-08-22T22:00:00.000Z,iviangita#3204,Mount Manu#3530,"for coming up with the idea of having a Parameters Tweet Campaign around a fun-fact, \""Did you know...\"" format for us to engage more users! Hands-down a great contribution 🏆",13,34,3,innov8tor3#3988,Zeptimus#3359,enti#1546,16,31
110,652,621f79e243b89009366c8a7f,2021-08-19T22:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for designing some beautiful SWAG item 👨🏻‍🎨,13,5,34,AmwFund#0979,Tam2140#9361,divine_comedian#5493,17,29
111,907,621f79e243b89009366c8bc8,2021-08-26T22:00:00.000Z,Juankbell#7458,iviangita#3204,for the new proposals for the Hatch DAO,5,34,8,eduardovegap#0422,Mount Manu#3530,kristofer#1475,15,29
112,362,621f79e243b89009366c8946,2021-08-12T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for taking the role of managing the params,34,34,5,teaci#6108,Vyvy-vi#5040,kristofer#1475,24,29
113,331,621f79e243b89009366c8927,2021-08-12T22:00:00.000Z,durgadas#9280,iviangita#3204,for holding down the fort for Suga when she was out of the loop,8,34,5,Sha#6179,Parrachia#0450,Mettodo#7010,15,29
114,19,621f79e143b89009366c8760,2021-08-02T22:00:00.000Z,santigs#9769,"griff (💜, 💜)#8888",for minting the NFTs and pushing forward the idea... these look so cool: https://v2.unique.one/token/3f17bd14-4d1d-4f87-a039-952f8b024d25/0xc9D1B08bdD82B0a0E59Bd8675CF4Ef880E5e11db,34,5,8,innov8tor3#3988,acidlazzer#5796,enti#1546,15,29
115,449,621f79e243b89009366c89b0,2021-08-12T22:00:00.000Z,liviade#1387,anna-marie#8824,for the governauts research project,34,5,5,Sha#6179,tigeroid#2951,Mettodo#7010,14,29
116,692,621f79e243b89009366c8ab5,2021-08-20T22:00:00.000Z,ALOYSIOUS#3049,Jolie_Ze#0295,for staking out my girlfriend's house after it was apparently broken into. I'm in a different state and they were on the scene immediately for support,13,5,34,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,17,29
117,977,621f79e243b89009366c8c0e,2021-08-26T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for TEC Scouts work,5,34,5,PhilH#1102,Parrachia#0450,kristofer#1475,14,29
118,245,621f79e143b89009366c884f,2021-08-05T22:00:00.000Z,iviangita#3204,Juankbell#7458,for always being super helpful with the calendar and a lot of community coordination around milestones,13,34,5,innov8tor3#3988,Zeptimus#3359,enti#1546,17,29
119,351,621f79e243b89009366c893b,2021-08-12T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for helping to make the 2nd Graviton Training possible,13,5,34,PhilH#1102,Parrachia#0450,divine_comedian#5493,17,29
120,110,621f79e143b89009366c87bf,2021-08-05T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for working on the params,5,34,5,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,14,29
121,68,621f79e143b89009366c8795,2021-08-03T22:00:00.000Z,durgadas#9280,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard AND Python Model and providing valuable feedback on how to make it better!,8,34,5,Sha#6179,Parrachia#0450,Mettodo#7010,15,29
122,525,621f79e243b89009366c8a00,2021-08-18T22:00:00.000Z,Nuggan#5183,divine_comedian#5493,for their hard work on the CCD deployment,34,5,8,Sha#6179,Tam2140#9361,bends#3537,15,29
123,1114,621f79e243b89009366c8caa,2021-08-30T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for reviewing and editing the Params tweet series 🙏🏼,5,34,13,teaci#6108,Zeptimus#3359,kristofer#1475,17,29
124,85,621f79e143b89009366c87a6,2021-08-04T22:00:00.000Z,VitorNunes#0090,Nuggan#5183,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,13,34,5,teaci#6108,Vyvy-vi#5040,kristofer#1475,17,29
125,814,621f79e243b89009366c8b6a,2021-08-25T22:00:00.000Z,elessar.eth#7945,"griff (💜, 💜)#8888",for hacking on the notes for the Hatch improvements,5,21,34,PhilH#1102,Vyvy-vi#5040,Usua◎ Silver#2618,20,29
126,884,621f79e243b89009366c8bb1,2021-08-26T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for being the Trusted Seed Gardener and caring for everyone in the TS,5,34,34,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,24,29
127,97,621f79e143b89009366c87b2,2021-08-05T22:00:00.000Z,fabiomendes#4802,iviangita#3204,for the super cool https://nft.tecommons.org/,34,5,34,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,24,29
128,845,621f79e243b89009366c8b8a,2021-08-26T22:00:00.000Z,natesuits#4789,iviangita#3204,for jumping in the TEC Case Study,5,34,8,innov8tor3#3988,Parrachia#0450,calazki#3961,15,29
129,65,621f79e143b89009366c8792,2021-08-03T22:00:00.000Z,solsista#5370,Letty#5399,for putting down a thoughtful doc on TE Ethics research and leading today's findings,34,8,5,teaci#6108,acidlazzer#5796,kristofer#1475,15,29
130,589,621f79e243b89009366c8a40,2021-08-19T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for taking the Governauts today from TE perspective and for the incredible work they do there,8,5,34,eduardovegap#0422,Mount Manu#3530,Usua◎ Silver#2618,15,29
131,117,621f79e143b89009366c87c6,2021-08-05T22:00:00.000Z,Suga#8514,iviangita#3204,for all the coordination in the groundwork in Paris and everybody was taken care of,34,21,5,eduardovegap#0422,tigeroid#2951,Mettodo#7010,20,29
132,860,621f79e243b89009366c8b99,2021-08-26T22:00:00.000Z,sem  🐝#0161,iviangita#3204,for his technical feedback and insights on the proposals specifically the 75% governance rights,5,21,34,PhilH#1102,Mount Manu#3530,calazki#3961,20,29
133,850,621f79e243b89009366c8b8f,2021-08-26T22:00:00.000Z,NaN#6925,iviangita#3204,"for the \""Abstracting complexity for non crypto-natives\"" forum post",13,5,34,osycross(🦎🦎)#5943,Tam2140#9361,Usua◎ Silver#2618,17,29
134,54,621f79e143b89009366c8787,2021-08-03T22:00:00.000Z,Suga#8514,anna-marie#8824,"for getting out the newsletter when there's been a huge fire in the area, she had nowhere to stay, and she's on holiday with her family, and for making sure the AMA was covered. Above and beyond!",34,34,8,eduardovegap#0422,tigeroid#2951,Mettodo#7010,25,26
135,527,621f79e243b89009366c8a02,2021-08-18T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for their hard work on the CCD deployment,34,21,8,Sha#6179,acidlazzer#5796,bends#3537,21,26
136,53,621f79e143b89009366c8786,2021-08-03T22:00:00.000Z,liviade#1387,Zeptimus#3359,for being an exceptional leader!! and explain how to proceed in the advice process,34,21,8,Sha#6179,tigeroid#2951,Mettodo#7010,21,26
137,688,621f79e243b89009366c8ab0,2021-08-19T22:00:00.000Z,freshelle#9882,ALOYSIOUS#3049,for accepting and processing my Trace proposal. 🥳 <a:confetti:788963579512356895>  Your response to the proposal absolutely made my day!!! <:ThankYou:753828947460096054>,8,34,34,Sha#6179,Vyvy-vi#5040,Usua◎ Silver#2618,25,26
138,583,621f79e243b89009366c8a3a,2021-08-19T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",8,34,34,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,25,26
139,208,621f79e143b89009366c8821,2021-08-05T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for always being around the TEC group and giving feedback in Paris (Eduardo's praise),34,8,13,eduardovegap#0422,Mount Manu#3530,Usua◎ Silver#2618,18,26
140,135,621f79e143b89009366c87d8,2021-08-05T22:00:00.000Z,Suga#8514,iviangita#3204,for pushing the community blog post even being in the middle of a fire situation,34,13,8,eduardovegap#0422,tigeroid#2951,Mettodo#7010,18,26
141,577,621f79e243b89009366c8a34,2021-08-19T22:00:00.000Z,natesuits#4789,iviangita#3204,for taking on the What’s Next? Hatch post for comms and communicating with Lauren about it,34,13,8,innov8tor3#3988,Parrachia#0450,calazki#3961,18,26
142,257,621f79e243b89009366c88db,2021-08-11T22:00:00.000Z,natesuits#4789,trangnv#2156,for an informative AMA session,34,13,8,innov8tor3#3988,Parrachia#0450,calazki#3961,18,26
143,253,621f79e243b89009366c88cf,2021-08-11T22:00:00.000Z,Mount Manu#3530,mheuer#9922,for taking his time to call and onboard me and offering support and help for ArborVote,8,13,34,PhilH#1102,Parrachia#0450,divine_comedian#5493,18,26
144,38,621f79e143b89009366c8773,2021-08-02T22:00:00.000Z,markop#2007,santigs#9769,for helping with the Hatch NFT page design,8,34,21,AmwFund#0979,Parrachia#0450,Usua◎ Silver#2618,21,26
145,379,621f79e243b89009366c8957,2021-08-12T22:00:00.000Z,natesuits#4789,iviangita#3204,for the important work they do in onboarding,8,34,8,innov8tor3#3988,Parrachia#0450,calazki#3961,16,26
146,465,621f79e243b89009366c89c0,2021-08-13T22:00:00.000Z,Zeptimus#3359,EvoMensch#5604,for and especially for helping me out in a moment of stress and guiding me through the Hatch process. Much appreciated!,8,21,34,AmwFund#0979,Mount Manu#3530,calazki#3961,21,26
147,378,621f79e243b89009366c8956,2021-08-12T22:00:00.000Z,nic#9212,iviangita#3204,for the important work they do in onboarding,8,34,21,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,21,26
148,2,621f79e143b89009366c874f,2021-08-01T22:00:00.000Z,VitorNunes#0090,"griff (💜, 💜)#8888",for hacking with me in Sunday into the night on the python backend for the dashboard it's looking amazing!!!,13,34,8,teaci#6108,Vyvy-vi#5040,kristofer#1475,18,26
