,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD,DISMISSAL AGREED
90,621f79e243b89009366c8d2b,2021-09-02T22:00:00.000Z,mateodaza#3156,iviangita#3204,"for joining the TEC Community Call 47 <:TEC_full:835017653306654730> 

https://youtu.be/G77UmujbYPY",1,1,5,0,False,False,False,True,PhilH#1102,enti#1546,acidlazzer#5796,Nuggan#5183,1,5,False
93,621f79e243b89009366c8d2e,2021-09-02T22:00:00.000Z,pKrepe#5682,iviangita#3204,"for joining the TEC Community Call 47 <:TEC_full:835017653306654730> 

https://youtu.be/G77UmujbYPY",0,1,1,8,True,False,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,2,8,False
95,621f79e243b89009366c8d30,2021-09-02T22:00:00.000Z,Suga#8514,iviangita#3204,"for joining the TEC Community Call 47 <:TEC_full:835017653306654730> 

https://youtu.be/G77UmujbYPY",5,1,3,0,False,False,False,True,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,2,5,False
111,621f79e243b89009366c8d40,2021-09-02T22:00:00.000Z,SteveWright#3039,iviangita#3204,for being around our Discord community and Tam hasn’t interacted with them yet,0,1,3,5,True,False,False,False,PhilH#1102,Mettodo#7010,bends#3537,divine_comedian#5493,2,5,False
112,621f79e243b89009366c8d41,2021-09-02T22:00:00.000Z,imranistan#5185,iviangita#3204,for being around our Discord community and Tam hasn’t interacted with them yet,3,3,0,1,False,False,True,False,PhilH#1102,Vyvy-vi#5040,Parrachia#0450,Sha#6179,1,3,False
117,621f79e243b89009366c8d51,2021-09-02T22:00:00.000Z,AnnAnna#4694,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,0,1,5,3,True,False,False,False,PhilH#1102,AmwFund#0979,teaci#6108,Sha#6179,2,5,False
122,621f79e243b89009366c8d56,2021-09-02T22:00:00.000Z,KZ Flyer#0926,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,3,1,1,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,Maxwe11#7157,Nuggan#5183,1,3,False
123,621f79e243b89009366c8d57,2021-09-02T22:00:00.000Z,Suga#8514,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,3,1,1,0,False,False,False,True,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,1,3,False
124,621f79e243b89009366c8d58,2021-09-02T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,1,1,3,0,False,False,False,True,lee0007#8152,AmwFund#0979,acidlazzer#5796,Nuggan#5183,1,3,False
129,621f79e243b89009366c8d5d,2021-09-02T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,3,1,3,0,False,False,False,True,Zeptimus#3359,enti#1546,acidlazzer#5796,divine_comedian#5493,1,3,False
130,621f79e243b89009366c8d5e,2021-09-02T22:00:00.000Z,GideonRo#3175,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,1,3,13,True,False,False,False,PhilH#1102,Mettodo#7010,acidlazzer#5796,Usua◎ Silver#2618,4,13,False
131,621f79e243b89009366c8d5f,2021-09-02T22:00:00.000Z,natesuits#4789,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,1,0,3,False,False,True,False,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,2,5,False
132,621f79e243b89009366c8d60,2021-09-02T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,3,1,1,0,False,False,False,True,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,1,3,False
133,621f79e243b89009366c8d61,2021-09-02T22:00:00.000Z,KZ Flyer#0926,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,1,1,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,Maxwe11#7157,Nuggan#5183,1,5,False
135,621f79e243b89009366c8d63,2021-09-02T22:00:00.000Z,nic#9212,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,3,1,0,False,False,False,True,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,2,5,False
136,621f79e243b89009366c8d64,2021-09-02T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,3,1,3,0,False,False,False,True,lee0007#8152,AmwFund#0979,acidlazzer#5796,Nuggan#5183,1,3,False
137,621f79e243b89009366c8d65,2021-09-02T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,1,3,0,13,False,False,True,False,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,4,13,False
138,621f79e243b89009366c8d66,2021-09-02T22:00:00.000Z,Mettodo#7010,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,3,0,13,True,False,True,False,PhilH#1102,liviade#1387,bends#3537,Usua◎ Silver#2618,4,13,False
139,621f79e243b89009366c8d67,2021-09-02T22:00:00.000Z,Suga#8514,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,3,0,0,False,False,True,True,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,2,5,False
142,621f79e243b89009366c8d6a,2021-09-02T22:00:00.000Z,sem  🐝#0161,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,1,0,5,True,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Sha#6179,1,5,False
143,621f79e243b89009366c8d6b,2021-09-02T22:00:00.000Z,markop#2007,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,1,1,3,0,False,False,False,True,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,1,3,False
144,621f79e243b89009366c8d6c,2021-09-02T22:00:00.000Z,ZER8🧠#9093,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,3,1,3,0,False,False,False,True,Zeptimus#3359,Mettodo#7010,Parrachia#0450,Nuggan#5183,1,3,False
147,621f79e243b89009366c8d6f,2021-09-02T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for ,0,0,1,0,True,True,False,True,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,0,1,False
148,621f79e243b89009366c8d70,2021-09-02T22:00:00.000Z,Suga#8514,Mount Manu#3530,for leading an amazing call and  for helping her,8,3,0,3,False,False,True,False,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,3,8,False
154,621f79e243b89009366c8d76,2021-09-02T22:00:00.000Z,liviade#1387,Mount Manu#3530,for taking some vacations,0,0,0,1,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
166,621f79e243b89009366c8d82,2021-09-02T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for his work in the CCD,0,0,1,13,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,4,13,False
174,621f79e243b89009366c8d8a,2021-09-02T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for doing user testing,0,13,13,34,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,15,34,False
202,621f79e243b89009366c8da6,2021-09-02T22:00:00.000Z,liviade#1387,Mount Manu#3530,for taking a break,0,0,0,0,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,0,False
212,621f79e243b89009366c8db0,2021-09-02T22:00:00.000Z,iviangita#3204,iviangita#3204,for having an interesting discussion in the Legal WG sync today,0,0,0,13,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,3,13,False
214,621f79e243b89009366c8db2,2021-09-02T22:00:00.000Z,GideonRo#3175,David (please DYOR...)#4116,for speaking up on the important forum about our TEC Twitter Account. 💚,0,0,5,0,False,False,False,True,PhilH#1102,Mettodo#7010,acidlazzer#5796,Usua◎ Silver#2618,1,5,False
217,621f79e243b89009366c8db5,2021-09-02T22:00:00.000Z,Zeptimus#3359,David (please DYOR...)#4116,for speaking up on the important forum about our TEC Twitter Account. 💚,3,3,0,3,False,False,True,False,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,2,3,False
221,621f79e243b89009366c8db9,2021-09-02T22:00:00.000Z,Zeptimus#3359,David (please DYOR...)#4116,for speaking up on the important forum about our TEC Twitter Account. 💚,0,0,5,0,False,False,False,True,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,1,5,False
237,621f79e243b89009366c8dc9,2021-09-05T22:00:00.000Z,r33pich33p#6906,iviangita#3204,for joining the Twitter weekly sync,3,1,1,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,teaci#6108,Nuggan#5183,1,3,False
239,621f79e243b89009366c8dcb,2021-09-05T22:00:00.000Z,iviangita#3204,iviangita#3204,for joining the Twitter weekly sync,0,3,3,8,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,3,8,False
243,621f79e243b89009366c8dcf,2021-09-05T22:00:00.000Z,iviangita#3204,iviangita#3204,for the discussion on types of voting our community can use for different instances,0,3,5,13,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,5,13,False
250,621f79e243b89009366c8dd6,2021-09-06T22:00:00.000Z,chuygarcia.eth#6692,Juankbell#7458,for ,0,0,1,0,True,True,False,True,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,0,1,False
254,621f79e243b89009366c8dda,2021-09-06T22:00:00.000Z,sem  🐝#0161,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,1,1,0,8,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Sha#6179,2,8,False
263,621f79e243b89009366c8de3,2021-09-06T22:00:00.000Z,sem  🐝#0161,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,0,0,5,0,False,True,False,False,PhilH#1102,enti#1546,Parrachia#0450,Sha#6179,1,5,False
264,621f79e243b89009366c8de4,2021-09-06T22:00:00.000Z,bradleyc#3333,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,0,0,0,0,True,False,False,False,PhilH#1102,enti#1546,acidlazzer#5796,divine_comedian#5493,0,0,False
265,621f79e243b89009366c8de5,2021-09-06T22:00:00.000Z,chuygarcia.eth#6692,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,0,0,0,0,False,False,False,True,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,0,0,False
266,621f79e243b89009366c8de6,2021-09-06T22:00:00.000Z,David (please DYOR...)#4116,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,0,0,0,0,False,False,False,True,Zeptimus#3359,enti#1546,acidlazzer#5796,divine_comedian#5493,0,0,False
271,621f79e243b89009366c8deb,2021-09-06T22:00:00.000Z,VitorNunes#0090,Juankbell#7458,for the amazing commons swarm call that was done yesterday!,0,0,3,0,False,False,False,True,lee0007#8152,Vyvy-vi#5040,teaci#6108,Usua◎ Silver#2618,0,3,False
279,621f79e243b89009366c8df3,2021-09-06T22:00:00.000Z,Zeptimus#3359,Juankbell#7458,for encouraging research on snapshot votes and going to the dentist 😄,0,0,3,0,False,False,False,True,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,1,3,False
295,621f79e243b89009366c8e03,2021-09-06T22:00:00.000Z,liviade#1387,chuygarcia.eth#6692,for attending today's Comms WG and providing valuable feedback to our current projects <:TEC:835016327542210560> <:PeepoBeeKind:769369963609718804>,1,1,1,0,False,False,False,True,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
335,621f79e243b89009366c8e2b,2021-09-09T22:00:00.000Z,liviade#1387,Mount Manu#3530,for waking up really early to get to work ☕,1,1,0,1,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
345,621f79e243b89009366c8e35,2021-09-09T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for their work in the Params WG 🤖,0,8,5,13,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,6,13,False
351,621f79e243b89009366c8e3b,2021-09-09T22:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for visibility comments in the forum 👁️,0,1,1,3,True,False,False,False,PhilH#1102,enti#1546,Parrachia#0450,Sha#6179,1,3,False
376,621f79e243b89009366c8e54,2021-09-09T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for their work in Params 🦾,0,0,1,21,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,5,21,False
383,621f79e243b89009366c8e5b,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for working super hard on the CCD’s development  🦾,0,0,1,21,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
388,621f79e243b89009366c8e60,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for working on software development for the CCD 🤖,0,0,1,21,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
394,621f79e243b89009366c8e66,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for their work with the CCD 🔥,0,0,1,13,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,4,13,False
399,621f79e243b89009366c8e6b,2021-09-09T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for their work with the CCD 🔥,0,0,55,21,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,19,55,False
400,621f79e243b89009366c8e6c,2021-09-09T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for doing user testing 👽,0,0,1,13,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,3,13,False
402,621f79e243b89009366c8e6e,2021-09-09T22:00:00.000Z,markop#2007,Mount Manu#3530,for the beautiful design 👀,0,0,8,3,False,True,False,False,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,3,8,False
415,621f79e243b89009366c8e7b,2021-09-09T22:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for the Comms DAO 😛,13,0,5,13,False,True,False,False,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,7,13,False
433,621f79e243b89009366c8e8d,2021-09-09T22:00:00.000Z,Zeptimus#3359,Mount Manu#3530,for being Zepti: our hero that we love very much 🦸🏻,8,3,0,0,False,False,True,True,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,2,8,False
466,621f79e243b89009366c8eae,2021-09-09T22:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for ,0,0,1,0,True,True,False,True,Mount Manu#3530,enti#1546,bends#3537,Sha#6179,0,1,False
467,621f79e243b89009366c8eaf,2021-09-09T22:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for ,0,0,1,0,True,True,False,True,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,0,1,False
472,621f79e243b89009366c8eb4,2021-09-09T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for ,0,0,1,0,True,True,False,True,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,0,1,False
473,621f79e243b89009366c8eb5,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for ,0,0,1,0,True,True,False,True,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,0,1,False
480,621f79e243b89009366c8ebc,2021-09-09T22:00:00.000Z,liviade#1387,Mount Manu#3530,for attending our Community Call <:TEC:835016327542210560>,1,1,0,0,False,False,False,True,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
491,621f79e243b89009366c8ed3,2021-09-09T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for hacking in person on the CCD,0,0,1,21,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
504,621f79e243b89009366c8ee0,2021-09-09T22:00:00.000Z,KZ Flyer#0926,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,3,1,1,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,Maxwe11#7157,Nuggan#5183,1,3,False
505,621f79e243b89009366c8ee1,2021-09-09T22:00:00.000Z,anna-marie#8824,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,0,1,0,13,True,False,True,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,3,13,False
506,621f79e243b89009366c8ee2,2021-09-09T22:00:00.000Z,paul2#3057,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,3,1,5,0,False,False,False,True,Zeptimus#3359,AmwFund#0979,teaci#6108,Nuggan#5183,2,5,False
507,621f79e243b89009366c8ee3,2021-09-09T22:00:00.000Z,Pronoia🐙🦘#2154,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,3,1,1,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,Maxwe11#7157,Nuggan#5183,1,3,False
508,621f79e243b89009366c8ee4,2021-09-09T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,1,1,0,0,False,False,False,True,lee0007#8152,AmwFund#0979,acidlazzer#5796,Nuggan#5183,0,1,False
509,621f79e243b89009366c8ee5,2021-09-09T22:00:00.000Z,liviade#1387,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,1,1,0,True,False,False,True,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
511,621f79e243b89009366c8ee7,2021-09-09T22:00:00.000Z,GideonRo#3175,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,1,3,21,True,False,False,False,PhilH#1102,Mettodo#7010,acidlazzer#5796,Usua◎ Silver#2618,6,21,False
513,621f79e243b89009366c8ee9,2021-09-09T22:00:00.000Z,Mettodo#7010,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,3,0,13,True,False,True,False,PhilH#1102,liviade#1387,bends#3537,Usua◎ Silver#2618,4,13,False
514,621f79e243b89009366c8eea,2021-09-09T22:00:00.000Z,kristofer#1475,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,13,1,1,0,False,False,False,True,innov8tor3#3988,enti#1546,Parrachia#0450,divine_comedian#5493,3,13,False
518,621f79e243b89009366c8eee,2021-09-09T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,1,1,0,False,False,False,True,lee0007#8152,AmwFund#0979,Parrachia#0450,divine_comedian#5493,1,5,False
519,621f79e243b89009366c8eef,2021-09-09T22:00:00.000Z,sem  🐝#0161,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,1,0,5,True,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Sha#6179,1,5,False
520,621f79e243b89009366c8ef0,2021-09-09T22:00:00.000Z,r33pich33p#6906,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,1,3,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,teaci#6108,Nuggan#5183,2,5,False
521,621f79e243b89009366c8ef1,2021-09-09T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,1,3,0,13,False,False,True,False,Zeptimus#3359,liviade#1387,bends#3537,Usua◎ Silver#2618,4,13,False
522,621f79e243b89009366c8ef2,2021-09-09T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,1,1,0,0,False,False,False,True,lee0007#8152,AmwFund#0979,acidlazzer#5796,Nuggan#5183,0,1,False
523,621f79e243b89009366c8ef3,2021-09-09T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,1,1,3,0,False,False,False,True,Zeptimus#3359,enti#1546,acidlazzer#5796,divine_comedian#5493,1,3,False
524,621f79e243b89009366c8ef4,2021-09-09T22:00:00.000Z,anna-marie#8824,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,0,3,0,21,True,False,True,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
525,621f79e243b89009366c8ef5,2021-09-09T22:00:00.000Z,Suga#8514,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,5,1,1,0,False,False,False,True,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,1,5,False
565,621f79e243b89009366c8f1f,2021-09-13T22:00:00.000Z,r33pich33p#6906,Suga#8514,for attending the Communitas WG meeting!,5,1,3,0,False,False,False,True,Mount Manu#3530,Vyvy-vi#5040,teaci#6108,Nuggan#5183,2,5,False
578,621f79e243b89009366c8f2c,2021-09-13T22:00:00.000Z,ZER8🧠#9093,chuygarcia.eth#6692,for joining our Comms WG call <:TEC:835016327542210560>,1,1,1,0,False,False,False,True,Zeptimus#3359,Mettodo#7010,Parrachia#0450,Nuggan#5183,0,1,False
580,621f79e243b89009366c8f2e,2021-09-13T22:00:00.000Z,liviade#1387,chuygarcia.eth#6692,for joining our Comms WG call <:TEC:835016327542210560>,1,1,1,0,False,False,False,True,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
612,621f79e243b89009366c8f58,2021-09-15T22:00:00.000Z,Suga#8514,divine_comedian#5493,for their exciting news for me!,5,1,0,5,False,False,True,False,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,2,5,False
616,621f79e243b89009366c8f5c,2021-09-15T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for their work on the CCD dashboard,0,0,1,21,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
